PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw,Mat[1][1],Mat[2][1],Mat[3][1],Mat[1][2],Mat[2][2],Mat[3][2],Mat[1][3],Mat[2][3],Mat[3][3]
40051,-9.049489,-1.164296,-3.393260,-0.000000,-0.000000,-0.078056,-0.001829,0.004389,-0.041499,0.993652,-0.325928,0.247803,-0.090498,-0.011624,-0.033931,1.000000,-0.000009,0.000022,-0.000207,-0.396025,0.659055,-0.489820,-0.410958,-161.088689,68.380396,-60.330146,0.182380,-0.320137,-0.929650,-0.971136,-0.206482,-0.119414,-0.153727,0.924596,-0.348555
40052,-9.080975,-1.120459,-3.377438,0.000000,-0.000000,-0.059399,-0.003183,0.008372,-0.044369,0.996826,-0.332031,0.258057,-0.090814,-0.011185,-0.033770,1.000000,-0.000016,0.000042,-0.000222,-0.400325,0.651583,-0.498560,-0.408187,-161.674787,68.608201,-62.283320,0.169642,-0.322892,-0.931108,-0.976522,-0.182354,-0.114679,-0.132762,0.928702,-0.346246
40053,-9.021274,-1.159418,-3.342860,0.020031,0.028999,-0.122429,-0.006595,0.013856,-0.044963,0.997803,-0.334961,0.248047,-0.090218,-0.011575,-0.033422,1.000000,-0.000033,0.000069,-0.000225,-0.398136,0.655480,-0.494069,-0.409548,-161.355905,68.483895,-61.263706,0.176332,-0.321593,-0.930315,-0.973816,-0.194767,-0.117250,-0.143488,0.926630,-0.347516
40054,-8.975118,-1.189818,-3.361775,0.056216,0.004588,-0.155215,-0.009550,0.039590,-0.044653,1.006836,-0.325684,0.253662,-0.089760,-0.011880,-0.033599,1.000000,-0.000048,0.000198,-0.000223,-0.398098,0.655690,-0.493982,-0.409353,-161.318339,68.454218,-61.217439,0.176823,-0.321873,-0.930124,-0.973724,-0.194999,-0.117632,-0.143511,0.926484,-0.347895
40055,-8.981239,-1.160099,-3.369991,0.022900,-0.002905,-0.150142,-0.015933,0.054618,-0.044901,1.001221,-0.334961,0.247314,-0.089824,-0.011584,-0.033674,1.000000,-0.000080,0.000273,-0.000225,-0.398005,0.655943,-0.493908,-0.409128,-161.290823,68.416872,-61.177843,0.177338,-0.322282,-0.929885,-0.973621,-0.195294,-0.117994,-0.143574,0.926280,-0.348413
40056,-9.059049,-1.172211,-3.435724,0.025904,-0.030675,-0.053434,-0.017964,0.071376,-0.038869,0.995361,-0.331055,0.247803,-0.090605,-0.011708,-0.034324,1.000000,-0.000090,0.000357,-0.000194,-0.397849,0.656221,-0.493886,-0.408861,-161.280988,68.370993,-61.156195,0.177819,-0.322867,-0.929590,-0.973526,-0.195586,-0.118292,-0.143622,0.926015,-0.349098
40057,-9.140670,-1.153339,-3.382257,-0.019093,0.048576,0.001536,-0.024665,0.081078,-0.041217,0.995361,-0.322021,0.249268,-0.091423,-0.011519,-0.033784,1.000000,-0.000123,0.000405,-0.000206,-0.397652,0.656538,-0.493861,-0.408573,-161.276208,68.319343,-61.135866,0.178338,-0.323537,-0.929257,-0.973417,-0.195948,-0.118590,-0.143717,0.925704,-0.349882
40058,-9.218872,-1.136433,-3.353423,-0.058123,0.104799,0.062036,-0.028187,0.079072,-0.041247,1.006348,-0.330811,0.254639,-0.092204,-0.011350,-0.033496,1.000000,-0.000141,0.000395,-0.000206,-0.397449,0.656857,-0.493826,-0.408301,-161.272670,68.268850,-61.114675,0.178853,-0.324188,-0.928931,-0.973303,-0.196342,-0.118875,-0.143850,0.925393,-0.350650
40059,-9.251799,-1.089661,-3.319957,-0.118466,0.144079,0.075208,-0.033135,0.065211,-0.039154,0.989990,-0.327393,0.251953,-0.092531,-0.010884,-0.033168,1.000000,-0.000166,0.000326,-0.000196,-0.397260,0.657151,-0.493758,-0.408093,-161.268307,68.226608,-61.089563,0.179326,-0.324709,-0.928658,-0.973185,-0.196775,-0.119121,-0.144057,0.925118,-0.351289
40060,-9.187129,-1.128983,-3.314317,-0.073117,0.141997,0.017731,-0.036108,0.058565,-0.038785,0.998047,-0.331299,0.245361,-0.091883,-0.011278,-0.033114,1.000000,-0.000181,0.000293,-0.000194,-0.397076,0.657438,-0.493673,-0.407913,-161.263315,68.187694,-61.061906,0.179788,-0.325174,-0.928406,-0.973064,-0.197235,-0.119355,-0.144303,0.924857,-0.351876
