PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw,Mat[1][1],Mat[2][1],Mat[3][1],Mat[1][2],Mat[2][2],Mat[3][2],Mat[1][3],Mat[2][3],Mat[3][3]
52748,9.319247,2.992432,-1.191850,-0.024219,0.006559,0.047480,-0.000575,0.007864,-0.011875,-0.678955,0.282959,-0.039551,0.093194,0.029919,-0.011922,1.000000,-0.000003,0.000039,-0.000059,0.433175,-0.388398,-0.640386,-0.501410,111.738897,-70.785356,168.954629,-0.323012,0.063053,0.944292,0.931846,0.195469,0.305702,-0.165305,0.978681,-0.121894
52749,9.276719,3.012937,-1.205826,0.010004,-0.006742,0.015292,0.003552,0.009765,-0.011174,-0.679199,0.281250,-0.035889,0.092768,0.030124,-0.012062,1.000000,0.000018,0.000049,-0.000056,0.433186,-0.388330,-0.640395,-0.501442,111.719222,-70.781480,168.977621,-0.323100,0.062935,0.944270,0.931804,0.195511,0.305803,-0.165370,0.978680,-0.121813
52750,9.321786,3.032809,-1.229133,0.017069,-0.023508,0.066764,0.002855,0.003913,-0.007525,-0.679199,0.277832,-0.040039,0.093219,0.030325,-0.012293,1.000000,0.000014,0.000020,-0.000038,0.433185,-0.388290,-0.640408,-0.501457,111.710304,-70.778329,168.988796,-0.323163,0.062882,0.944252,0.931776,0.195544,0.305871,-0.165409,0.978677,-0.121784
52751,9.301219,3.039055,-1.163100,0.017969,0.040638,0.041213,0.000268,0.003360,-0.007475,-0.680420,0.273926,-0.040771,0.093013,0.030387,-0.011633,1.000000,0.000001,0.000017,-0.000037,0.433177,-0.388257,-0.640416,-0.501478,111.700786,-70.775061,168.999039,-0.323227,0.062835,0.944233,0.931751,0.195551,0.305941,-0.165422,0.978678,-0.121754
52752,9.344429,3.041660,-1.203821,0.012483,0.003499,0.087771,0.000828,0.005160,-0.008199,-0.677002,0.281494,-0.032471,0.093445,0.030413,-0.012040,1.000000,0.000004,0.000026,-0.000041,0.433175,-0.388216,-0.640423,-0.501504,111.688228,-70.771738,169.012821,-0.323296,0.062767,0.944214,0.931723,0.195564,0.306019,-0.165446,0.978680,-0.121707
52753,9.323057,3.052161,-1.210975,0.029595,-0.003151,0.071677,-0.003372,-0.001139,-0.008252,-0.692139,0.279541,-0.042480,0.093232,0.030518,-0.012110,1.000000,-0.000017,-0.000006,-0.000041,0.433144,-0.388200,-0.640433,-0.501530,111.683026,-70.767103,169.016284,-0.323374,0.062762,0.944187,0.931702,0.195536,0.306101,-0.165411,0.978686,-0.121707
52754,9.344992,3.064702,-1.259543,0.041196,-0.046940,0.102141,0.000326,-0.001728,-0.011378,-0.674805,0.278564,-0.039551,0.093452,0.030642,-0.012595,1.000000,0.000002,-0.000009,-0.000057,0.433110,-0.388166,-0.640460,-0.501552,111.678689,-70.760488,169.021046,-0.323487,0.062756,0.944149,0.931663,0.195546,0.306211,-0.165408,0.978684,-0.121724
52755,9.343464,3.044559,-1.203986,0.012448,0.003491,0.087771,-0.001709,-0.005224,-0.013679,-0.679199,0.276367,-0.041504,0.093437,0.030439,-0.012038,1.000000,-0.000009,-0.000026,-0.000068,0.433055,-0.388139,-0.640494,-0.501577,111.677384,-70.752099,169.021391,-0.323623,0.062781,0.944101,0.931622,0.195538,0.306342,-0.165376,0.978685,-0.121768
52756,9.300625,3.065470,-1.219146,0.046597,-0.009785,0.055584,-0.005211,-0.005674,-0.017378,-0.672852,0.278564,-0.037842,0.093009,0.030646,-0.012190,1.000000,-0.000026,-0.000028,-0.000087,0.432980,-0.388107,-0.640529,-0.501621,111.672693,-70.741193,169.023217,-0.323801,0.062804,0.944038,0.931572,0.195499,0.306519,-0.165308,0.978691,-0.121810
52757,9.298214,3.049876,-1.236677,0.034061,-0.030150,0.050670,-0.011494,-0.005640,-0.014201,-0.677979,0.273438,-0.043701,0.092985,0.030491,-0.012366,1.000000,-0.000057,-0.000028,-0.000071,0.432904,-0.388101,-0.640540,-0.501677,111.666104,-70.732438,169.023221,-0.323943,0.062832,0.943988,0.931545,0.195395,0.306667,-0.165182,0.978710,-0.121828
