PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw,Mat[1][1],Mat[2][1],Mat[3][1],Mat[1][2],Mat[2][2],Mat[3][2],Mat[1][3],Mat[2][3],Mat[3][3]
54437,9.448204,2.795508,-1.087186,0.008175,0.019923,0.100180,0.003596,0.000356,-0.014000,-0.710938,0.325195,-0.012207,0.094484,0.027949,-0.010872,1.000000,0.000018,0.000002,-0.000070,0.429327,-0.411171,-0.621870,-0.509799,111.654506,-72.401674,165.901258,-0.293235,0.073649,0.953200,0.949130,0.142087,0.281005,-0.114741,0.987111,-0.111567
54438,9.447801,2.780835,-1.105421,-0.004995,-0.000485,0.097707,0.000983,0.003595,-0.016615,-0.717285,0.327148,-0.003418,0.094480,0.027801,-0.011056,1.000000,0.000005,0.000018,-0.000083,0.429297,-0.411108,-0.621899,-0.509839,111.637967,-72.393585,165.919201,-0.293388,0.073590,0.953157,0.949080,0.142109,0.281162,-0.114761,0.987112,-0.111535
54439,9.437092,2.749807,-1.108972,-0.032798,-0.009378,0.079168,0.000727,0.001008,-0.020384,-0.717285,0.324463,-0.019043,0.094374,0.027488,-0.011090,1.000000,0.000004,0.000005,-0.000102,0.429237,-0.411047,-0.621945,-0.509883,111.626416,-72.381887,165.931007,-0.293592,0.073576,0.953095,0.949018,0.142119,0.281365,-0.114751,0.987111,-0.111550
54440,9.424642,2.792023,-1.111783,0.009444,-0.007472,0.079491,-0.006627,0.001274,-0.016371,-0.718018,0.330322,-0.015381,0.094249,0.027912,-0.011119,1.000000,-0.000033,0.000006,-0.000082,0.429185,-0.411007,-0.621959,-0.509941,111.609604,-72.373436,165.944662,-0.293746,0.073541,0.953050,0.948978,0.142066,0.281529,-0.114692,0.987122,-0.111520
54441,9.391788,2.768613,-1.122069,-0.003644,-0.023771,0.042736,-0.004446,-0.000165,-0.018009,-0.710693,0.327637,-0.017090,0.093920,0.027677,-0.011221,1.000000,-0.000022,-0.000001,-0.000090,0.429130,-0.410961,-0.621985,-0.509993,111.595469,-72.363834,165.956830,-0.293917,0.073517,0.953000,0.948930,0.142035,0.281705,-0.114650,0.987128,-0.111509
54442,9.381067,2.785871,-1.070376,0.008199,0.028348,0.031617,-0.010788,0.003393,-0.017512,-0.717041,0.332031,-0.013428,0.093813,0.027850,-0.010707,1.000000,-0.000054,0.000017,-0.000088,0.429074,-0.410921,-0.621986,-0.510071,111.571996,-72.355219,165.974975,-0.294079,0.073459,0.952954,0.948891,0.141942,0.281884,-0.114557,0.987146,-0.111446
54443,9.380685,2.771299,-1.088288,-0.004968,0.007942,0.029143,-0.008274,0.000529,-0.012686,-0.717773,0.328125,-0.016113,0.093809,0.027707,-0.010884,1.000000,-0.000041,0.000003,-0.000063,0.429026,-0.410898,-0.621990,-0.510125,111.558013,-72.348588,165.984678,-0.294198,0.073435,0.952919,0.948863,0.141869,0.282013,-0.114480,0.987158,-0.111418
54444,9.390547,2.789218,-1.102776,0.009529,-0.003362,0.045209,-0.011722,-0.003915,-0.011300,-0.713867,0.323486,-0.018311,0.093907,0.027886,-0.011028,1.000000,-0.000059,-0.000020,-0.000056,0.428961,-0.410898,-0.621992,-0.510178,111.550378,-72.341742,165.985642,-0.294310,0.073458,0.952883,0.948843,0.141762,0.282134,-0.114358,0.987171,-0.111422
54445,9.390137,2.790554,-1.102886,0.009530,-0.003363,0.045209,-0.013067,-0.005784,-0.014248,-0.713867,0.329102,-0.011719,0.093904,0.027898,-0.011028,1.000000,-0.000065,-0.000029,-0.000071,0.428880,-0.410897,-0.622000,-0.510237,111.543133,-72.332936,165.985386,-0.294452,0.073495,0.952836,0.948816,0.141643,0.282284,-0.114217,0.987186,-0.111440
54446,9.422037,2.817118,-1.092642,0.022624,0.012940,0.081964,-0.013522,-0.007621,-0.013595,-0.718994,0.329834,-0.018799,0.094223,0.028164,-0.010925,1.000000,-0.000068,-0.000038,-0.000068,0.428794,-0.410903,-0.622010,-0.510293,111.539156,-72.324088,165.981429,-0.294590,0.073551,0.952789,0.948792,0.141520,0.282429,-0.114066,0.987199,-0.111475
