PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw,Mat[1][1],Mat[2][1],Mat[3][1],Mat[1][2],Mat[2][2],Mat[3][2],Mat[1][3],Mat[2][3],Mat[3][3]
36128,0.600118,-9.682274,-0.885783,0.000000,0.000000,-0.071476,-0.036113,0.007572,-0.014924,0.363037,0.999756,0.015625,0.005994,-0.096825,-0.008841,1.000000,-0.000181,0.000038,-0.000075,0.673940,-0.735338,-0.068228,0.020695,-95.216917,-3.527552,7.381697,0.989833,0.128235,0.061529,0.072448,-0.082301,-0.993971,-0.122398,0.988323,-0.090754
36129,0.567931,-9.676940,-0.895270,-0.015785,-0.027285,-0.077893,-0.040599,0.008694,-0.014349,0.369385,0.997314,0.021973,0.005672,-0.096772,-0.008933,1.000000,-0.000203,0.000043,-0.000072,0.674509,-0.735471,-0.062168,0.015993,-95.147934,-3.459358,6.501360,0.991759,0.113020,0.060341,0.069870,-0.082346,-0.994152,-0.107391,0.990174,-0.089564
36130,0.553028,-9.696069,-0.922257,-0.031090,-0.050432,-0.057349,-0.040387,0.009525,-0.018050,0.368652,0.990479,0.022217,0.005521,-0.096963,-0.009203,1.000000,-0.000202,0.000048,-0.000090,0.674365,-0.735602,-0.062205,0.015885,-95.170802,-3.470149,6.496846,0.991756,0.112941,0.060529,0.070093,-0.082725,-0.994104,-0.107268,0.990152,-0.089960
36131,0.562808,-9.748021,-0.913133,-0.028223,-0.031718,-0.005921,-0.041099,0.009696,-0.020593,0.359375,0.988037,0.026367,0.005618,-0.097483,-0.009112,1.000000,-0.000205,0.000048,-0.000103,0.674197,-0.735756,-0.062235,0.015767,-95.197381,-3.480901,6.491018,0.991757,0.112839,0.060716,0.070319,-0.083171,-0.994051,-0.107118,0.990126,-0.090420
36132,0.527971,-9.737277,-0.899317,-0.066078,-0.019156,-0.019968,-0.040954,0.008317,-0.021686,0.364258,0.997559,0.020264,0.005269,-0.097375,-0.008973,1.000000,-0.000205,0.000042,-0.000108,0.674051,-0.735888,-0.062290,0.015650,-95.220625,-3.493708,6.487394,0.991750,0.112775,0.060939,0.070578,-0.083552,-0.994001,-0.107007,0.990101,-0.090822
36133,0.510489,-9.751015,-0.902719,-0.086769,-0.019413,-0.007083,-0.038569,0.001895,-0.025781,0.369141,0.997559,0.025391,0.005092,-0.097513,-0.009008,1.000000,-0.000193,0.000009,-0.000129,0.673898,-0.736022,-0.062374,0.015542,-95.244749,-3.508067,6.486917,0.991736,0.112765,0.061189,0.070870,-0.083941,-0.993947,-0.106946,0.990070,-0.091239
36134,0.551742,-9.680293,-0.967427,-0.037145,-0.081401,-0.068951,-0.036887,-0.004360,-0.032423,0.363281,0.997070,0.027588,0.005502,-0.096806,-0.009656,1.000000,-0.000184,-0.000022,-0.000162,0.673764,-0.736136,-0.062511,0.015437,-95.266141,-3.526337,6.491114,0.991708,0.112835,0.061507,0.071231,-0.084270,-0.993894,-0.106963,0.990034,-0.091608
36135,0.585136,-9.679312,-0.941570,-0.010024,-0.047801,-0.070222,-0.036039,-0.005905,-0.030971,0.361084,0.999756,0.020752,0.005837,-0.096796,-0.009398,1.000000,-0.000180,-0.000030,-0.000155,0.673591,-0.736287,-0.062625,0.015335,-95.293392,-3.542308,6.493807,0.991686,0.112880,0.061786,0.071561,-0.084706,-0.993833,-0.106950,0.989991,-0.092079
36136,0.550031,-9.626763,-0.987580,-0.039715,-0.098445,-0.120363,-0.038997,-0.009654,-0.035941,0.366211,0.996826,0.020996,0.005483,-0.096271,-0.009857,1.000000,-0.000195,-0.000048,-0.000180,0.673447,-0.736406,-0.062793,0.015237,-95.316196,-3.562301,6.501232,0.991650,0.113006,0.062134,0.071959,-0.085051,-0.993775,-0.107018,0.989947,-0.092473
36137,0.577993,-9.659094,-0.955049,-0.021669,-0.057725,-0.089494,-0.033690,-0.006499,-0.039173,0.367676,0.991943,0.023193,0.005761,-0.096594,-0.009534,1.000000,-0.000168,-0.000032,-0.000196,0.673345,-0.736486,-0.062972,0.015130,-95.332569,-3.584334,6.508646,0.991611,0.113131,0.062518,0.072381,-0.085282,-0.993724,-0.107090,0.989913,-0.092755
36138,0.601609,-9.644279,-0.958801,-0.000940,-0.057119,-0.102379,-0.034163,-0.011304,-0.041307,0.364258,0.985840,0.026367,0.005997,-0.096446,-0.009571,1.000000,-0.000171,-0.000057,-0.000207,0.673219,-0.736587,-0.063165,0.015022,-95.352687,-3.607295,6.517316,0.991569,0.113279,0.062918,0.072827,-0.085573,-0.993667,-0.107177,0.989871,-0.093101
