PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw,Mat[1][1],Mat[2][1],Mat[3][1],Mat[1][2],Mat[2][2],Mat[3][2],Mat[1][3],Mat[2][3],Mat[3][3]
46398,-2.574205,-9.261431,-1.416114,0.010473,-0.043466,-0.096515,-0.029442,0.002490,-0.022744,0.338379,0.598389,0.272461,-0.025753,-0.092613,-0.014147,1.000000,-0.000147,0.000012,-0.000114,0.626122,-0.636850,0.407844,-0.189888,-98.587899,15.596398,-51.832274,0.595212,-0.757257,-0.268859,-0.281684,0.116730,-0.952380,0.752580,0.642601,-0.143828
46399,-2.562145,-9.295925,-1.460248,-0.005054,-0.081337,-0.060534,-0.029543,0.004899,-0.024109,0.338135,0.602539,0.266113,-0.025633,-0.092958,-0.014588,1.000000,-0.000148,0.000024,-0.000121,0.625990,-0.636990,0.407812,-0.189922,-98.605666,15.581890,-51.833421,0.595239,-0.757322,-0.268615,-0.281766,0.116347,-0.952403,0.752528,0.642594,-0.144134
46400,-2.559293,-9.330613,-1.463205,0.004985,-0.085832,-0.027806,-0.028774,0.009980,-0.022166,0.343506,0.594971,0.267822,-0.025604,-0.093305,-0.014617,1.000000,-0.000144,0.000050,-0.000111,0.625856,-0.637116,0.407800,-0.189964,-98.623198,15.568476,-51.837315,0.595226,-0.757412,-0.268390,-0.281851,0.115994,-0.952421,0.752507,0.642552,-0.144435
46401,-2.582686,-9.279685,-1.399348,0.025214,-0.017276,-0.079237,-0.025839,0.011476,-0.031670,0.339355,0.601807,0.265381,-0.025842,-0.092795,-0.013980,1.000000,-0.000129,0.000057,-0.000158,0.625719,-0.637252,0.407759,-0.190048,-98.639211,15.549358,-51.841278,0.595229,-0.757523,-0.268068,-0.281857,0.115584,-0.952469,0.752502,0.642494,-0.144714
46402,-2.562870,-9.331518,-1.427728,0.030588,-0.052293,-0.031059,-0.031378,0.011132,-0.029493,0.342285,0.594482,0.263672,-0.025643,-0.093314,-0.014261,1.000000,-0.000157,0.000056,-0.000147,0.625569,-0.637399,0.407730,-0.190112,-98.658236,15.531693,-51.845185,0.595228,-0.757629,-0.267771,-0.281917,0.115159,-0.952503,0.752480,0.642446,-0.145043
46403,-2.537865,-9.296927,-1.440210,0.026760,-0.070781,-0.068864,-0.031082,0.010177,-0.033520,0.336426,0.595459,0.264893,-0.025395,-0.092967,-0.014386,1.000000,-0.000155,0.000051,-0.000168,0.625415,-0.637557,0.407683,-0.190188,-98.676988,15.511428,-51.848203,0.595247,-0.757735,-0.267431,-0.281949,0.114699,-0.952549,0.752453,0.642403,-0.145369
46404,-2.583035,-9.332641,-1.497564,-0.033109,-0.073115,-0.014396,-0.026871,0.004729,-0.034248,0.329346,0.590576,0.268555,-0.025847,-0.093324,-0.014962,1.000000,-0.000134,0.000024,-0.000171,0.625287,-0.637707,0.407614,-0.190255,-98.692305,15.491622,-51.847908,0.595308,-0.757804,-0.267097,-0.281948,0.114266,-0.952601,0.752405,0.642398,-0.145638
46405,-2.579293,-9.367681,-1.499765,-0.023089,-0.077458,0.018333,-0.015383,0.004971,-0.030533,0.335449,0.603516,0.273193,-0.025808,-0.093674,-0.014990,1.000000,-0.000077,0.000025,-0.000153,0.625195,-0.637817,0.407545,-0.190339,-98.701643,15.473133,-51.848212,0.595357,-0.757875,-0.266786,-0.281880,0.113922,-0.952662,0.752392,0.642376,-0.145806
46406,-2.559326,-9.419718,-1.526537,-0.017715,-0.112475,0.066512,-0.010358,0.001946,-0.033999,0.335205,0.599121,0.278076,-0.025609,-0.094194,-0.015260,1.000000,-0.000052,0.000010,-0.000170,0.625125,-0.637917,0.407452,-0.190430,-98.707068,15.453709,-51.846297,0.595438,-0.757926,-0.266460,-0.281755,0.113597,-0.952738,0.752374,0.642373,-0.145910
46407,-2.525914,-9.471759,-1.520599,0.019508,-0.136753,0.106365,0.001431,0.001231,-0.034315,0.337646,0.596436,0.267578,-0.025275,-0.094713,-0.015207,1.000000,0.000007,0.000006,-0.000172,0.625085,-0.637990,0.407343,-0.190550,-98.706759,15.432880,-51.844236,0.595525,-0.757981,-0.266109,-0.281541,0.113318,-0.952834,0.752386,0.642358,-0.145919
46408,-2.552301,-9.455961,-1.526635,-0.007664,-0.116676,0.099243,0.009210,0.001157,-0.031168,0.329346,0.604492,0.258789,-0.025538,-0.094555,-0.015271,1.000000,0.000046,0.000006,-0.000156,0.625082,-0.638024,0.407238,-0.190670,-98.700918,15.415127,-51.842112,0.595604,-0.758024,-0.265811,-0.281286,0.113141,-0.952931,0.752418,0.642339,-0.145835
46409,-2.529698,-9.439446,-1.477681,0.035073,-0.098250,0.070388,0.013068,-0.003576,-0.033912,0.334473,0.606934,0.270264,-0.025313,-0.094389,-0.014783,1.000000,0.000065,-0.000018,-0.000170,0.625082,-0.638072,0.407101,-0.190802,-98.693973,15.393897,-51.837470,0.595727,-0.758053,-0.265453,-0.280986,0.112919,-0.953046,0.752434,0.642343,-0.145734
46410,-2.510575,-9.457197,-1.502275,0.030408,-0.128770,0.085842,0.003011,0.002476,-0.026976,0.331543,0.602539,0.274170,-0.025119,-0.094568,-0.015024,1.000000,0.000015,0.000012,-0.000135,0.625061,-0.638115,0.407020,-0.190900,-98.691991,15.378404,-51.836501,0.595784,-0.758099,-0.265193,-0.280803,0.112733,-0.953122,0.752457,0.642321,-0.145712
46411,-2.509021,-9.423293,-1.502079,0.020303,-0.123546,0.053123,-0.000791,-0.001700,-0.020783,0.336914,0.601807,0.267578,-0.025100,-0.094230,-0.015021,1.000000,-0.000004,-0.000008,-0.000104,0.625020,-0.638184,0.406940,-0.190975,-98.694096,15.363198,-51.834274,0.595857,-0.758131,-0.264937,-0.280679,0.112500,-0.953186,0.752446,0.642324,-0.145757
46412,-2.536184,-9.441541,-1.508919,0.003169,-0.107960,0.078728,-0.005864,-0.005182,-0.015234,0.320557,0.602539,0.274902,-0.025369,-0.094414,-0.015087,1.000000,-0.000029,-0.000026,-0.000076,0.624997,-0.638238,0.406881,-0.190994,-98.696287,15.355018,-51.829862,0.595938,-0.758115,-0.264799,-0.280632,0.112347,-0.953218,0.752398,0.642370,-0.145800
46413,-2.509236,-9.406848,-1.445814,0.056713,-0.081607,0.029343,-0.013480,-0.007274,-0.010972,0.333008,0.604492,0.261963,-0.025097,-0.094068,-0.014453,1.000000,-0.000067,-0.000036,-0.000055,0.624929,-0.638340,0.406824,-0.191001,-98.705824,15.344643,-51.825450,0.596026,-0.758107,-0.264625,-0.280659,0.112083,-0.953241,0.752318,0.642426,-0.145965
46414,-2.544484,-9.407496,-1.469463,0.018642,-0.068997,0.042748,-0.015754,-0.010456,-0.003489,0.331299,0.598633,0.270020,-0.025446,-0.094076,-0.014689,1.000000,-0.000079,-0.000052,-0.000017,0.624896,-0.638406,0.406795,-0.190946,-98.713142,15.343574,-51.818995,0.596115,-0.758044,-0.264607,-0.280757,0.111955,-0.953227,0.752212,0.642523,-0.146088
46415,-2.528644,-9.389738,-1.495768,0.003755,-0.093897,0.025489,-0.013165,-0.014492,-0.006878,0.334717,0.596924,0.265625,-0.025289,-0.093897,-0.014953,1.000000,-0.000066,-0.000072,-0.000034,0.624844,-0.638509,0.406723,-0.190924,-98.721626,15.335098,-51.810750,0.596248,-0.757989,-0.264464,-0.280797,0.111709,-0.953244,0.752091,0.642631,-0.146235
46416,-2.505772,-9.389204,-1.505897,0.009990,-0.116951,0.020420,-0.010367,-0.014191,-0.004943,0.332764,0.597168,0.271729,-0.025059,-0.093892,-0.015056,1.000000,-0.000052,-0.000071,-0.000025,0.624835,-0.638565,0.406673,-0.190873,-98.725245,15.333531,-51.801971,0.596369,-0.757903,-0.264437,-0.280846,0.111604,-0.953242,0.751977,0.642750,-0.146296
46417,-2.502895,-9.320289,-1.433375,0.047162,-0.062686,-0.056629,-0.015351,-0.013815,-0.006150,0.333008,0.598877,0.272461,-0.025031,-0.093203,-0.014328,1.000000,-0.000077,-0.000069,-0.000031,0.624768,-0.638680,0.406605,-0.190852,-98.735958,15.324264,-51.794415,0.596495,-0.757858,-0.264282,-0.280906,0.111326,-0.953257,0.751855,0.642851,-0.146481
46418,-2.515433,-9.268999,-1.336331,0.099230,0.016242,-0.116430,-0.025978,-0.011392,-0.006546,0.326904,0.600586,0.275391,-0.025157,-0.092691,-0.013353,1.000000,-0.000130,-0.000057,-0.000033,0.624702,-0.638786,0.406574,-0.190783,-98.748918,15.321549,-51.787135,0.596599,-0.757792,-0.264236,-0.281062,0.111109,-0.953236,0.751714,0.642966,-0.146699
46419,-2.554543,-9.217810,-1.304733,0.087236,0.075650,-0.159569,-0.051750,-0.009292,-0.005166,0.329346,0.606689,0.266357,-0.025547,-0.092181,-0.013025,1.000000,-0.000259,-0.000046,-0.000026,0.624514,-0.639007,0.406552,-0.190706,-98.780312,15.311659,-51.782096,0.596694,-0.757775,-0.264069,-0.281382,0.110603,-0.953201,0.751519,0.643073,-0.147228
46420,-2.538607,-9.199389,-1.335743,0.072534,0.049612,-0.176829,-0.078142,-0.008153,-0.006435,0.326172,0.593994,0.265625,-0.025388,-0.091998,-0.013323,1.000000,-0.000391,-0.000041,-0.000032,0.624274,-0.639272,0.406580,-0.190541,-98.823667,15.308730,-51.776725,0.596773,-0.757730,-0.264020,-0.281930,0.110052,-0.953102,0.751250,0.643221,-0.147951
46421,-2.545204,-9.181113,-1.359694,0.050987,0.047729,-0.189030,-0.102910,-0.008409,-0.005039,0.331299,0.603516,0.277588,-0.025454,-0.091817,-0.013551,1.000000,-0.000515,-0.000042,-0.000025,0.623934,-0.639641,0.406604,-0.190364,-98.882443,15.299220,-51.771557,0.596869,-0.757711,-0.263860,-0.282613,0.109242,-0.952993,0.750918,0.643382,-0.148936
46422,-2.541070,-9.231079,-1.427232,0.024515,0.002311,-0.132489,-0.118543,-0.005559,-0.006604,0.338867,0.602295,0.271973,-0.025413,-0.092318,-0.014218,1.000000,-0.000593,-0.000028,-0.000033,0.623560,-0.640029,0.406679,-0.190126,-98.949341,15.295974,-51.767687,0.596929,-0.757682,-0.263805,-0.283463,0.108429,-0.952833,0.750549,0.643553,-0.150051
46423,-2.573552,-9.246811,-1.518015,-0.050768,-0.025009,-0.095289,-0.120900,0.000209,-0.002523,0.336182,0.594238,0.270752,-0.025737,-0.092477,-0.015124,1.000000,-0.000604,0.000001,-0.000013,0.623151,-0.640436,0.406755,-0.189933,-99.019030,15.287274,-51.767847,0.596952,-0.757715,-0.263659,-0.284286,0.107534,-0.952690,0.750220,0.643665,-0.151216
