PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw,Mat[1][1],Mat[2][1],Mat[3][1],Mat[1][2],Mat[2][2],Mat[3][2],Mat[1][3],Mat[2][3],Mat[3][3]
47739,-2.231028,-9.159637,-2.516198,-0.038828,-0.008010,-0.055325,-0.018995,0.006425,-0.013430,0.296875,0.554443,0.314453,-0.022317,-0.091597,-0.025153,1.000000,-0.000095,0.000032,-0.000067,0.585350,-0.685546,0.396666,-0.173345,-105.155566,13.103134,-50.064181,0.625216,-0.746800,-0.226705,-0.340930,-0.000043,-0.940089,0.702049,0.665048,-0.254634
47740,-2.181516,-9.199013,-2.556468,-0.022720,-0.069713,-0.019270,-0.009994,0.002696,-0.017198,0.297852,0.555420,0.315430,-0.021823,-0.091990,-0.025560,1.000000,-0.000050,0.000013,-0.000086,0.585298,-0.685606,0.396621,-0.173386,-105.160610,13.093137,-50.062895,0.625258,-0.746816,-0.226535,-0.340887,-0.000235,-0.940104,0.702032,0.665030,-0.254727
47741,-2.173545,-9.167678,-2.520285,-0.004010,-0.049807,-0.059741,0.000637,0.003600,-0.024011,0.289551,0.558105,0.315430,-0.021747,-0.091674,-0.025203,1.000000,0.000003,0.000018,-0.000120,0.585272,-0.685648,0.396549,-0.173470,-105.159871,13.079318,-50.061245,0.625314,-0.746840,-0.226300,-0.340732,-0.000410,-0.940160,0.702057,0.665003,-0.254729
47742,-2.153349,-9.138593,-2.451214,0.045604,-0.017384,-0.109241,0.002326,0.000296,-0.022296,0.299072,0.563477,0.315430,-0.021544,-0.091383,-0.024513,1.000000,0.000012,0.000001,-0.000111,0.585259,-0.685686,0.396471,-0.173541,-105.157947,13.066851,-50.058017,0.625388,-0.746843,-0.226088,-0.340577,-0.000564,-0.940216,0.702066,0.665000,-0.254710
47743,-2.153895,-9.155078,-2.469278,0.036250,-0.027337,-0.089006,0.004057,0.001151,-0.030801,0.299072,0.552246,0.317139,-0.021553,-0.091547,-0.024695,1.000000,0.000020,0.000006,-0.000154,0.585244,-0.685734,0.396366,-0.173643,-105.154701,13.049645,-50.053934,0.625485,-0.746850,-0.225795,-0.340356,-0.000767,-0.940296,0.702087,0.664992,-0.254675
47744,-2.199236,-9.181864,-2.470943,0.013530,0.007051,-0.053149,0.007558,-0.003817,-0.026623,0.295166,0.565430,0.313721,-0.022004,-0.091815,-0.024713,1.000000,0.000038,-0.000019,-0.000133,0.585253,-0.685769,0.396255,-0.173725,-105.149013,13.035193,-50.047687,0.625603,-0.746826,-0.225549,-0.340134,-0.000920,-0.940377,0.702090,0.665019,-0.254596
47745,-2.165043,-9.195577,-2.463885,0.041741,-0.012562,-0.049754,0.015784,-0.004024,-0.033427,0.292969,0.556152,0.309082,-0.021665,-0.091950,-0.024647,1.000000,0.000079,-0.000020,-0.000167,0.585286,-0.685793,0.396115,-0.173840,-105.138297,13.017308,-50.040267,0.625745,-0.746799,-0.225245,-0.339814,-0.001065,-0.940492,0.702118,0.665049,-0.254439
47746,-2.137041,-9.175644,-2.452060,0.057708,-0.024710,-0.077800,0.015295,-0.007245,-0.025098,0.295654,0.560303,0.317383,-0.021381,-0.091752,-0.024528,1.000000,0.000076,-0.000036,-0.000125,0.585331,-0.685805,0.395993,-0.173922,-105.127658,13.004082,-50.032282,0.625882,-0.746751,-0.225020,-0.339544,-0.001155,-0.940590,0.702127,0.665102,-0.254278
47747,-2.122759,-9.243947,-2.459257,0.082082,-0.039545,-0.014917,0.014134,-0.010733,-0.025267,0.289795,0.555420,0.313477,-0.021238,-0.092435,-0.024600,1.000000,0.000071,-0.000054,-0.000126,0.585379,-0.685823,0.395862,-0.173987,-105.117318,12.991710,-50.022314,0.626043,-0.746680,-0.224810,-0.339286,-0.001250,-0.940682,0.702107,0.665183,-0.254121
47748,-2.072849,-9.218697,-2.455671,0.104617,-0.073795,-0.050771,0.012215,-0.005287,-0.022269,0.294678,0.558838,0.309570,-0.020738,-0.092183,-0.024563,1.000000,0.000061,-0.000026,-0.000111,0.585412,-0.685837,0.395754,-0.174066,-105.108503,12.979158,-50.015814,0.626160,-0.746646,-0.224597,-0.339046,-0.001344,-0.940769,0.702120,0.665220,-0.253989
